CIK,coName,formtype,date,fName,length,full_link,performance
1345016,YELP INC,10-K,2019-12-31,280603.txt,152323,/blue/acg7849/share/BS/item1/280603.txt,0.0381815635
1772177,"KURA SUSHI USA, INC.",10-K,2019-08-31,275323.txt,38468,/blue/acg7849/share/BS/item1/275323.txt,0.0190550975
1341766,"Celsius Holdings, Inc.",10-K,2019-12-31,280595.txt,132197,/blue/acg7849/share/BS/item1/280595.txt,0.1103206391
1679826,Ping Identity Holding Corp.,10-K,2019-12-31,283125.txt,100202,/blue/acg7849/share/BS/item1/283125.txt,-0.001723168
1650445,Quorum Health Corp,10-K,2019-12-31,282859.txt,146425,/blue/acg7849/share/BS/item1/282859.txt,-0.109879113
49600,EASTGROUP PROPERTIES INC,10-K,2019-12-31,284462.txt,20617,/blue/acg7849/share/BS/item1/284462.txt,0.047784082
1174891,"CalEthos, Inc.",10-K,2019-12-31,280098.txt,88622,/blue/acg7849/share/BS/item1/280098.txt,
1693696,UNITED CAPITAL CONSULTANTS INC.,10-K,2019-12-31,283268.txt,90266,/blue/acg7849/share/BS/item1/283268.txt,
1630176,GREY CLOAK TECH INC.,10-K,2019-12-31,282682.txt,33461,/blue/acg7849/share/BS/item1/282682.txt,
83350,RESERVE PETROLEUM CO,10-K,2019-12-31,285179.txt,23514,/blue/acg7849/share/BS/item1/285179.txt,-0.007473967
1323468,GLOBAL PARTNERS LP,10-K,2019-12-31,280499.txt,66133,/blue/acg7849/share/BS/item1/280499.txt,0.0127712061
1438423,EVERSPIN TECHNOLOGIES INC,10-K,2019-12-31,281230.txt,22583,/blue/acg7849/share/BS/item1/281230.txt,-0.414706548
16058,CACI INTERNATIONAL INC /DE/,10-K,2019-06-30,272517.txt,38807,/blue/acg7849/share/BS/item1/272517.txt,0.0522139174
1654785,Capital Auto Receivables Asset Trust 2015-4,10-K,2019-12-31,282910.txt,1001,/blue/acg7849/share/BS/item1/282910.txt,
1669162,"Kinsale Capital Group, Inc.",10-K,2019-12-31,283028.txt,350742,/blue/acg7849/share/BS/item1/283028.txt,0.0580587777
1430319,C & C TOURS INC,10-K,2019-12-31,281172.txt,18123,/blue/acg7849/share/BS/item1/281172.txt,
930420,KFORCE INC,10-K,2019-12-31,285753.txt,37732,/blue/acg7849/share/BS/item1/285753.txt,0.1431708757
868271,SEVERN BANCORP INC,10-K,2019-12-31,285320.txt,67282,/blue/acg7849/share/BS/item1/285320.txt,0.0101267476
1544206,"TCG BDC, INC.",10-K,2019-12-31,281893.txt,212734,/blue/acg7849/share/BS/item1/281893.txt,0.0280361485
1162283,MORGAN GROUP HOLDING CO,10-K,2019-12-31,280029.txt,17179,/blue/acg7849/share/BS/item1/280029.txt,-0.234361558
922224,PPL Corp,10-K,2019-12-31,281703.txt,281462,/blue/acg7849/share/BS/item1/281703.txt,0.0382224168
19584,CHEMED CORP,10-K,2019-12-31,284154.txt,166880,/blue/acg7849/share/BS/item1/284154.txt,0.1733975024
1472091,PDS Biotechnology Corp,10-K,2019-12-31,281395.txt,195401,/blue/acg7849/share/BS/item1/281395.txt,-0.482989442
20639,AMBASE CORP,10-K,2019-12-31,284173.txt,9902,/blue/acg7849/share/BS/item1/284173.txt,-0.361541284
1729756,Fintech Acquisition Corp. III,10-K,2019-12-31,283614.txt,118090,/blue/acg7849/share/BS/item1/283614.txt,0.0121285008
1368365,"REMARK HOLDINGS, INC.",10-K,2019-12-31,280737.txt,44192,/blue/acg7849/share/BS/item1/280737.txt,-1.551493896
1370880,"FireEye, Inc.",10-K,2019-12-31,280748.txt,91188,/blue/acg7849/share/BS/item1/280748.txt,-0.089053882
1280452,MONOLITHIC POWER SYSTEMS INC,10-K,2019-12-31,280304.txt,26048,/blue/acg7849/share/BS/item1/280304.txt,0.1138036858
